
0 (False) 동화약품(종가:19150) 245994161462 - 92292990324 > 534887650500 * 1 ?(DIV:0.63, BPS: 10772, PER: 56.16, EPS: 341, PBR: 1.77780913479391)
1 (False) KR모터스(종가:1380) 59528044547 - 100804149114 > 126492204840 * 1 ?(DIV:0.0, BPS: 318, PER: 0.0, EPS: 0, PBR: 0.0)
2 (False) 경방(종가:11800) 254794033574 - 637965180998 > 323500186000 * 1 ?(DIV:1.06, BPS: 27050, PER: 7.24, EPS: 1630, PBR: 0.4362735674676525)
3 (False) 메리츠화재(종가:14450) 0 - 0 > 1743031250000 * 1 ?(DIV:5.88, BPS: 21397, PER: 5.37, EPS: 2693, PBR: 0.6758615693788849)
4 (False) 삼양홀딩스(종가:67500) 1469231000000 - 1739087000000 > 578088292500 * 1 ?(DIV:2.96, BPS: 160079, PER: 16.93, EPS: 3987, PBR: 0.42166623979410167)
5 (False) 삼양홀딩스우(종가:48100) 0 - 0 > 14625189800 * 1 ?(DIV:4.26, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
6 (False) 하이트진로(종가:31950) 1520556483582 - 2872009231516 > 2240768871450 * 1 ?(DIV:2.19, BPS: 14488, PER: 0.0, EPS: 0, PBR: 0.0)
7 (False) 하이트진로2우B(종가:20650) 0 - 0 > 23337349700 * 1 ?(DIV:0.0, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
8 (False) 유한양행(종가:64400) 1249314831206 - 537865296356 > 4305578564000 * 1 ?(DIV:0.62, BPS: 24221, PER: 100.0, EPS: 644, PBR: 2.6588497584740516)
9 (False) 유한양행우(종가:65700) 0 - 0 > 77587758000 * 1 ?(DIV:0.62, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
10 (False) CJ대한통운(종가:166000) 2668270251678 - 5855504691593 > 3786849104000 * 1 ?(DIV:0.0, BPS: 131146, PER: 123.05, EPS: 1349, PBR: 1.2657225534900034)
11 (False) 하이트진로홀딩스(종가:15800) 1539283549068 - 3479015793497 > 366666887000 * 1 ?(DIV:2.22, BPS: 18398, PER: 0.0, EPS: 0, PBR: 0.0)
12 (False) 하이트진로홀딩스우(종가:15300) 0 - 0 > 7203393000 * 1 ?(DIV:2.61, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
13 (False) 두산(종가:55300) 12110456127435 - 23303871904484 > 913768075500 * 1 ?(DIV:9.4, BPS: 72969, PER: 2.53, EPS: 21900, PBR: 0.7593224520001643)
14 (False) 두산우(종가:43300) 0 - 0 > 173046804600 * 1 ?(DIV:12.12, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
