
0 (False) 동화약품(종가:23850) 237916006490 - 76698757654 > 666165559500 * 1 ?(DIV:0.5, BPS: 10772, PER: 69.94, EPS: 341, PBR: 2.2140308206461197)
1 (False) KR모터스(종가:874) 60080183244 - 121952871359 > 80111729732 * 1 ?(DIV:0.0, BPS: 318, PER: 0.0, EPS: 0, PBR: 0.0)
2 (False) 경방(종가:10800) 328282005197 - 673367459188 > 296084916000 * 1 ?(DIV:1.16, BPS: 27050, PER: 6.63, EPS: 1630, PBR: 0.39951571164510163)
3 (False) 메리츠화재(종가:13550) 0 - 0 > 1540364000000 * 1 ?(DIV:6.27, BPS: 21397, PER: 5.03, EPS: 2693, PBR: 0.633069589194747)
4 (False) 삼양홀딩스(종가:61800) 1458808000000 - 1757928000000 > 529271947800 * 1 ?(DIV:3.24, BPS: 160079, PER: 15.5, EPS: 3987, PBR: 0.38605001280617696)
5 (False) 삼양홀딩스우(종가:48100) 0 - 0 > 14625189800 * 1 ?(DIV:4.26, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
6 (False) 하이트진로(종가:38500) 1161913154423 - 2616385436395 > 2700144023500 * 1 ?(DIV:1.82, BPS: 14488, PER: 0.0, EPS: 0, PBR: 0.0)
7 (False) 하이트진로2우B(종가:21900) 0 - 0 > 24750022200 * 1 ?(DIV:0.0, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
8 (False) 유한양행(종가:63600) 1253369445381 - 518664129729 > 4252093116000 * 1 ?(DIV:0.63, BPS: 24221, PER: 98.76, EPS: 644, PBR: 2.6258800214689733)
9 (False) 유한양행우(종가:63600) 0 - 0 > 75107784000 * 1 ?(DIV:0.64, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
10 (False) CJ대한통운(종가:180500) 2567995887615 - 5729652722926 > 4117628092000 * 1 ?(DIV:0.0, BPS: 131146, PER: 133.8, EPS: 1349, PBR: 1.3762996965214342)
11 (False) 하이트진로홀딩스(종가:17250) 1178493119709 - 3215078276551 > 400316696250 * 1 ?(DIV:2.03, BPS: 18398, PER: 0.0, EPS: 0, PBR: 0.0)
12 (False) 하이트진로홀딩스우(종가:16250) 0 - 0 > 7650662500 * 1 ?(DIV:2.46, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
13 (False) 두산(종가:47700) 12231406995576 - 23861138760474 > 788186929500 * 1 ?(DIV:10.9, BPS: 72969, PER: 2.18, EPS: 21900, PBR: 0.654277844015952)
14 (False) 두산우(종가:39750) 0 - 0 > 158859364500 * 1 ?(DIV:13.21, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
15 (False) 두산2우B(종가:85300) 0 - 0 > 76176141400 * 1 ?(DIV:6.1, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
16 (False) 성창기업지주(종가:1825) 77433384528 - 173336300190 > 127296670000 * 1 ?(DIV:0.0, BPS: 7529, PER: 0.0, EPS: 0, PBR: 0.0)
17 (False) 대림산업(종가:76600) 6964202161877 - 7252235874410 > 2665680000000 * 1 ?(DIV:1.7, BPS: 153815, PER: 4.45, EPS: 17223, PBR: 0.49827617592562495)
18 (False) 대림산업우(종가:40250) 0 - 0 > 152950000000 * 1 ?(DIV:3.35, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
19 (False) 유유제약(종가:16250) 64572811701 - 49570088149 > 115295017500 * 1 ?(DIV:1.29, BPS: 11570, PER: 21.49, EPS: 756, PBR: 1.4041866897147794)
20 (False) 유유제약1우(종가:15050) 0 - 0 > 17058648250 * 1 ?(DIV:1.46, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
21 (False) 유유제약2우B(종가:35000) 0 - 0 > 5742800000 * 1 ?(DIV:0.63, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
22 (False) 일동홀딩스(종가:9100) 263893618237 - 488058262546 > 105017640000 * 1 ?(DIV:1.1, BPS: 11931, PER: 0.0, EPS: 0, PBR: 0.0)
23 (False) 한국테크놀로지그룹(종가:16300) 571459072682 - 328364432813 > 1516228819900 * 1 ?(DIV:2.15, BPS: 35269, PER: 9.88, EPS: 1650, PBR: 0.4622189458164394)
24 (False) 삼천당제약(종가:57000) 163085830081 - 67063180756 > 1297778337000 * 1 ?(DIV:0.09, BPS: 7142, PER: 116.8, EPS: 488, PBR: 7.980733688042565)
25 (False) 기아차(종가:49150) 0 - 0 > 19923608505050 * 1 ?(DIV:2.34, BPS: 71487, PER: 10.79, EPS: 4556, PBR: 0.6876668485179123)
26 (False) 대유플러스(종가:832) 192993217486 - 292889821508 > 95337577088 * 1 ?(DIV:0.0, BPS: 953, PER: 5.47, EPS: 152, PBR: 0.8724449108079747)
27 (False) 노루홀딩스(종가:9130) 483431207028 - 475994030624 > 121348208630 * 1 ?(DIV:4.38, BPS: 27108, PER: 20.8, EPS: 439, PBR: 0.33684521174561016)
28 (False) 노루홀딩스우(종가:17650) 0 - 0 > 3269662500 * 1 ?(DIV:2.29, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
29 (False) 한화손해보험(종가:2785) 0 - 0 > 325117878275 * 1 ?(DIV:0.0, BPS: 12154, PER: 0.0, EPS: 0, PBR: 0.0)
30 (False) 삼화페인트(종가:4955) 0 - 0 > 131004011205 * 1 ?(DIV:2.52, BPS: 10625, PER: 29.67, EPS: 167, PBR: 0.4663425882352942)
31 (False) 롯데손해보험(종가:1600) 0 - 0 > 496538112000 * 1 ?(DIV:0.0, BPS: 3112, PER: 0.0, EPS: 0, PBR: 0.0)
32 (False) 대원강업(종가:4210) 310216710116 - 449278744183 > 261020000000 * 1 ?(DIV:2.73, BPS: 7743, PER: 16.32, EPS: 258, PBR: 0.5437892289810151)
33 (False) 중앙에너비스(종가:8450) 2955231220 - 15036400705 > 52619248500 * 1 ?(DIV:1.89, BPS: 7246, PER: 64.02, EPS: 132, PBR: 1.1662489649461771)
34 (False) 조선내화(종가:73200) 381734973570 - 424074348271 > 292800000000 * 1 ?(DIV:5.46, BPS: 147942, PER: 9.77, EPS: 7493, PBR: 0.4948331778670019)
35 (False) 대동공업(종가:6650) 544225013970 - 670698135111 > 157792596500 * 1 ?(DIV:0.9, BPS: 9019, PER: 44.33, EPS: 150, PBR: 0.7372768599623019)
36 (False) 가온전선(종가:22700) 336361053986 - 330984300606 > 94439876900 * 1 ?(DIV:2.64, BPS: 61708, PER: 16.32, EPS: 1391, PBR: 0.36787969145005506)
37 (False) 삼일제약(종가:23750) 77234248888 - 119783038294 > 157752748750 * 1 ?(DIV:0.63, BPS: 9580, PER: 184.11, EPS: 129, PBR: 2.4791430062630484)
38 (False) 흥국화재(종가:2715) 0 - 0 > 174418781175 * 1 ?(DIV:0.0, BPS: 10926, PER: 5.32, EPS: 510, PBR: 0.24832509610104342)
39 (False) 흥국화재우(종가:12650) 0 - 0 > 9715200000 * 1 ?(DIV:0.0, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
40 (False) 흥국화재2우B(종가:24200) 0 - 0 > 3717120000 * 1 ?(DIV:0.0, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
41 (True) CS홀딩스(종가:52800) 197943960802 - 30313644729 > 60956649600 * 1 ?(DIV:0.95, BPS: 195584, PER: 6.26, EPS: 8435, PBR: 0.2699765829515707)
42 (False) 동아쏘시오홀딩스(종가:116500) 0 - 588373755490 > 715111600500 * 1 ?(DIV:0.86, BPS: 121392, PER: 36.18, EPS: 3220, PBR: 0.9596975088967972)
43 (False) 천일고속(종가:67700) 0 - 0 > 96758194000 * 1 ?(DIV:7.39, BPS: 35686, PER: 133.79, EPS: 506, PBR: 1.897039175026621)
44 (False) SK하이닉스(종가:86500) 15799759000000 - 18895063000000 > 62972204572500 * 1 ?(DIV:1.16, BPS: 65836, PER: 29.39, EPS: 2943, PBR: 1.3137913907284768)
45 (False) 영풍(종가:478000) 1427478146058 - 1076558772886 > 880495120000 * 1 ?(DIV:2.09, BPS: 1767872, PER: 3.53, EPS: 135469, PBR: 0.2704978471292039)
46 (False) LS네트웍스(종가:2140) 281381408233 - 659617239368 > 168638454240 * 1 ?(DIV:0.0, BPS: 6590, PER: 0.0, EPS: 0, PBR: 0.0)
47 (False) 유수홀딩스(종가:5460) 227909275731 - 223399661870 > 142188293520 * 1 ?(DIV:0.0, BPS: 8702, PER: 33.5, EPS: 163, PBR: 0.6274994254194438)
48 (True) 현대건설(종가:30250) 14483130000000 - 10586072000000 > 3368511891250 * 1 ?(DIV:1.98, BPS: 59778, PER: 8.27, EPS: 3656, PBR: 0.5057900899996655)
49 (False) 현대건설우(종가:184000) 0 - 0 > 18189504000 * 1 ?(DIV:0.35, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
50 (False) 이화산업(종가:14450) 51528803627 - 113028094270 > 40460000000 * 1 ?(DIV:0.0, BPS: 36329, PER: 0.0, EPS: 0, PBR: 0.0)
51 (False) 삼성화재(종가:181500) 0 - 0 > 8598532915500 * 1 ?(DIV:4.68, BPS: 282791, PER: 12.0, EPS: 15126, PBR: 0.6418591822229137)
52 (False) 삼성화재우(종가:139500) 0 - 0 > 445284000000 * 1 ?(DIV:6.1, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
53 (True) 화천기공(종가:30900) 180607998648 - 89115881844 > 67980000000 * 1 ?(DIV:4.05, BPS: 134845, PER: 9.12, EPS: 3388, PBR: 0.22914131039341465)
54 (False) 강남제비스코(종가:15700) 194711628950 - 127648857744 > 102050000000 * 1 ?(DIV:3.18, BPS: 81019, PER: 6.98, EPS: 2250, PBR: 0.1938434194448216)
55 (False) 한화(종가:26650) 17086578000000 - 168431971000000 > 1997650287750 * 1 ?(DIV:2.63, BPS: 45198, PER: 25.36, EPS: 1051, PBR: 0.5897021992123546)
56 (False) 한화우(종가:51600) 0 - 0 > 24731570400 * 1 ?(DIV:1.45, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
57 (False) 한화3우B(종가:13350) 0 - 0 > 300001200000 * 1 ?(DIV:5.62, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
58 (False) 보해양조(종가:886) 55274291723 - 77211481916 > 112920144478 * 1 ?(DIV:0.0, BPS: 635, PER: 0.0, EPS: 0, PBR: 0.0)
59 (False) 유니온(종가:7990) 129098964870 - 185205406078 > 124736835810 * 1 ?(DIV:1.25, BPS: 6355, PER: 0.0, EPS: 0, PBR: 0.0)
60 (False) 전방(종가:26900) 44450978764 - 250038009826 > 45192000000 * 1 ?(DIV:0.0, BPS: 50283, PER: 0.0, EPS: 0, PBR: 0.0)
61 (False) 한국주철관(종가:8380) 0 - 0 > 191068190000 * 1 ?(DIV:2.39, BPS: 11819, PER: 14.32, EPS: 585, PBR: 0.7087909298587022)
62 (False) DB하이텍(종가:36150) 475541647342 - 462647411891 > 1605008956200 * 1 ?(DIV:0.97, BPS: 14483, PER: 15.0, EPS: 2410, PBR: 2.496029828074294)
63 (False) DB하이텍1우(종가:137500) 0 - 0 > 15443450000 * 1 ?(DIV:0.29, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
64 (False) 신라섬유(종가:1920) 0 - 0 > 46612876800 * 1 ?(DIV:0.0, BPS: 595, PER: 213.33, EPS: 9, PBR: 3.2268403361344538)
65 (False) 페이퍼코리아(종가:1885) 384430979992 - 620103534754 > 66288437800 * 1 ?(DIV:0.0, BPS: 436, PER: 0.0, EPS: 0, PBR: 0.0)
66 (False) CJ(종가:80900) 11471234111000 - 26156194583000 > 2360419138200 * 1 ?(DIV:2.29, BPS: 126448, PER: 9.82, EPS: 8240, PBR: 0.6399215487789447)
67 (False) CJ우(종가:47700) 0 - 0 > 107812637100 * 1 ?(DIV:3.98, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
68 (False) CJ4우(전환)(종가:58600) 0 - 0 > 247673603200 * 1 ?(DIV:3.24, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
69 (False) JW중외제약(종가:34300) 337062073888 - 351405915935 > 717557852200 * 1 ?(DIV:0.95, BPS: 10345, PER: 0.0, EPS: 0, PBR: 0.0)
70 (False) JW중외제약우(종가:57500) 0 - 0 > 9910757500 * 1 ?(DIV:0.61, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
71 (False) JW중외제약2우B(종가:72200) 0 - 0 > 6525002800 * 1 ?(DIV:0.48, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
72 (False) 대한방직(종가:33750) 103699018034 - 77355729458 > 178875000000 * 1 ?(DIV:0.0, BPS: 23893, PER: 0.0, EPS: 0, PBR: 0.0)
73 (False) 만호제강(종가:15000) 0 - 0 > 62250000000 * 1 ?(DIV:1.33, BPS: 55516, PER: 42.86, EPS: 350, PBR: 0.27021038979753587)
74 (False) LG상사(종가:15200) 2920398128622 - 3544248137823 > 589152000000 * 1 ?(DIV:1.97, BPS: 30224, PER: 20.57, EPS: 739, PBR: 0.5029522895712016)
75 (False) 대한제분(종가:156500) 436964404476 - 255988824552 > 264485000000 * 1 ?(DIV:1.28, BPS: 449614, PER: 15.35, EPS: 10196, PBR: 0.3480954774539939)
76 (False) 국보(종가:2180) 87257996680 - 99145828164 > 107640650100 * 1 ?(DIV:0.0, BPS: 1333, PER: 0.0, EPS: 0, PBR: 0.0)
77 (False) 유진투자증권(종가:3810) 0 - 0 > 369061052580 * 1 ?(DIV:1.84, BPS: 8151, PER: 8.92, EPS: 427, PBR: 0.46728499570604837)
78 (False) 금호전기(종가:4735) 38711043788 - 61380624989 > 56733917700 * 1 ?(DIV:0.0, BPS: 3098, PER: 0.0, EPS: 0, PBR: 0.0)
79 (False) 동국제강(종가:6710) 1861586539664 - 3504438268814 > 640353665270 * 1 ?(DIV:0.0, BPS: 19382, PER: 0.0, EPS: 0, PBR: 0.0)
80 (False) GS글로벌(종가:1705) 798678589145 - 900298826995 > 140720067620 * 1 ?(DIV:0.0, BPS: 4351, PER: 0.0, EPS: 0, PBR: 0.0)
81 (False) 남광토건(종가:10150) 137183455543 - 144142526405 > 99760401650 * 1 ?(DIV:0.0, BPS: 5379, PER: 25.76, EPS: 394, PBR: 1.886863729317717)
82 (False) 부국증권(종가:20300) 0 - 0 > 210508685800 * 1 ?(DIV:5.91, BPS: 36295, PER: 6.61, EPS: 3070, PBR: 0.5591045598567296)
83 (False) 부국증권우(종가:19400) 0 - 0 > 58200000000 * 1 ?(DIV:6.44, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
84 (False) 상상인증권(종가:1010) 0 - 0 > 97069521370 * 1 ?(DIV:0.0, BPS: 1587, PER: 0.0, EPS: 0, PBR: 0.0)
85 (False) 백광산업(종가:3465) 52818582836 - 153935938332 > 155642280255 * 1 ?(DIV:2.16, BPS: 3726, PER: 9.29, EPS: 373, PBR: 0.9299973161567363)
86 (False) 삼성제약(종가:3815) 0 - 0 > 234812155095 * 1 ?(DIV:0.0, BPS: 2421, PER: 32.33, EPS: 118, PBR: 1.5757703428335397)
87 (False) SG충방(종가:2060) 46348115412 - 72847465760 > 92626134580 * 1 ?(DIV:0.0, BPS: 2893, PER: 121.18, EPS: 17, PBR: 0.7120843415139992)
88 (False) KG케미칼(종가:19800) 1366055260526 - 2728346012081 > 257661993600 * 1 ?(DIV:1.77, BPS: 26210, PER: 2.57, EPS: 7691, PBR: 0.7541346814193056)
89 (False) 태원물산(종가:4170) 0 - 0 > 31692000000 * 1 ?(DIV:2.04, BPS: 4237, PER: 57.12, EPS: 73, PBR: 0.9841302808590985)
90 (False) 세아베스틸(종가:9920) 1421184056990 - 1717879794524 > 355752220480 * 1 ?(DIV:3.02, BPS: 51512, PER: 20.54, EPS: 483, PBR: 0.19259240565305172)
91 (False) 대한전선(종가:820) 691172012000 - 920608549000 > 702307867380 * 1 ?(DIV:0.0, BPS: 345, PER: 0.0, EPS: 0, PBR: 0.0)
92 (False) 현대해상(종가:22800) 0 - 0 > 2038320000000 * 1 ?(DIV:3.86, BPS: 50452, PER: 7.21, EPS: 3161, PBR: 0.45173253785776585)
93 (False) BYC(종가:220000) 117281603737 - 254054471239 > 137415300000 * 1 ?(DIV:0.5, BPS: 517079, PER: 6.61, EPS: 33265, PBR: 0.4252380197223249)
94 (False) BYC우(종가:118000) 0 - 0 > 25415430000 * 1 ?(DIV:0.97, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
95 (False) 삼부토건(종가:2350) 271559750754 - 232201740776 > 323233964800 * 1 ?(DIV:0.0, BPS: 1531, PER: 38.52, EPS: 61, PBR: 1.5347615937295886)
