
0 (False) 동화약품(종가:20300) 237916006490 - 76698757654 > 567008841000 * 1 ?(DIV:0.59, BPS: 10772, PER: 59.53, EPS: 341, PBR: 1.8844903453397697)
1 (False) KR모터스(종가:1095) 60080183244 - 121952871359 > 100368814710 * 1 ?(DIV:0.0, BPS: 318, PER: 0.0, EPS: 0, PBR: 0.0)
2 (False) 경방(종가:10500) 328282005197 - 673367459188 > 287860335000 * 1 ?(DIV:1.19, BPS: 27050, PER: 6.44, EPS: 1630, PBR: 0.38806654343807767)
3 (False) 메리츠화재(종가:14400) 0 - 0 > 1636992000000 * 1 ?(DIV:5.9, BPS: 21397, PER: 5.35, EPS: 2693, PBR: 0.6733443940739355)
4 (False) 삼양홀딩스(종가:61200) 1458808000000 - 1757928000000 > 524133385200 * 1 ?(DIV:3.27, BPS: 160079, PER: 15.35, EPS: 3987, PBR: 0.3823140449403107)
5 (False) 삼양홀딩스우(종가:48100) 0 - 0 > 14625189800 * 1 ?(DIV:4.26, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
6 (False) 하이트진로(종가:37200) 1161913154423 - 2616385436395 > 2608970329200 * 1 ?(DIV:1.88, BPS: 14488, PER: 0.0, EPS: 0, PBR: 0.0)
7 (False) 하이트진로2우B(종가:21500) 0 - 0 > 24297967000 * 1 ?(DIV:0.0, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
8 (False) 유한양행(종가:60600) 1253369445381 - 518664129729 > 4051522686000 * 1 ?(DIV:0.66, BPS: 24221, PER: 94.1, EPS: 644, PBR: 2.501977622724082)
9 (False) 유한양행우(종가:60500) 0 - 0 > 71446870000 * 1 ?(DIV:0.68, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
10 (False) CJ대한통운(종가:182500) 2567995887615 - 5729652722926 > 4163252780000 * 1 ?(DIV:0.0, BPS: 131146, PER: 135.29, EPS: 1349, PBR: 1.3916262028578834)
11 (False) 하이트진로홀딩스(종가:16350) 1178493119709 - 3215078276551 > 379430607750 * 1 ?(DIV:2.14, BPS: 18398, PER: 0.0, EPS: 0, PBR: 0.0)
12 (False) 하이트진로홀딩스우(종가:15600) 0 - 0 > 7344636000 * 1 ?(DIV:2.56, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
13 (False) 두산(종가:46300) 12231406995576 - 23861138760474 > 765053560500 * 1 ?(DIV:11.23, BPS: 72969, PER: 2.11, EPS: 21900, PBR: 0.6332689224191095)
14 (False) 두산우(종가:39900) 0 - 0 > 159458833800 * 1 ?(DIV:13.16, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
15 (False) 두산2우B(종가:81300) 0 - 0 > 72603989400 * 1 ?(DIV:6.4, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
16 (False) 성창기업지주(종가:1840) 77433384528 - 173336300190 > 128342944000 * 1 ?(DIV:0.0, BPS: 7529, PER: 0.0, EPS: 0, PBR: 0.0)
17 (False) 대림산업(종가:81000) 6964202161877 - 7252235874410 > 2818800000000 * 1 ?(DIV:1.6, BPS: 153815, PER: 4.7, EPS: 17223, PBR: 0.5262692195169523)
18 (False) 대림산업우(종가:43650) 0 - 0 > 165870000000 * 1 ?(DIV:3.09, BPS: 0, PER: 0.0, EPS: 0, PBR: 0.0)
19 (False) 유유제약(종가:14250) 64572811701 - 49570088149 > 101713835250 * 1 ?(DIV:1.47, BPS: 11570, PER: 18.85, EPS: 756, PBR: 1.231685393258427)
